user_id,auction_id,cat_id,cat1,property,buy_mount,day
786295544,41098319944,50014866,50022520,21458:86755362;13023209:3593274;10984217:21985;122217965:3227750;21477:28695579;22061:30912;122217803:3230095;21479:106713;1628665:29790;1628665:31614;1628665:61550;1628665:3233938;1628665:82340;21967:29841,2,20140919
532110457,17916191097,50011993,28,21458:11399317;1628862:3251296;21475:137325;1628861:30753;32959:104027;1628665:3233941;1628665:3233942;1628665:3233939;1628665:92012;1628665:29790;1628665:31614;1628665:61550;1628665:3233940;1628665:3233936;1628665:3233937;1628665:29798;1628665:29778;1628665:3233938;1628665:82340;1628665:29787;1628665:29784;1628665:29793;1628665:131622;1628665:29796;1628665:133527;1628665:108579;1628665:29785;1628665:29782;31367:82125;3989193:31542;3989126:3726638;32549:65569917;32549:75472461;32549:26762606;32549:99061;32549:99060;32549:99201;32549:75475273;32549:99063;11684888:104528258,1,20131011
249013725,21896936223,50012461,50014815,21458:30992;1628665:92012;1628665:3233938;1628665:3233942,1,20131011
917056007,12515996043,50018831,50014815,21458:15841995;21956:3494076;27000458:59723383;123923464:29772;25935:51746;7250727:21892;33337:202022242;22757:29230;122218054:59723383;122217774:34713,2,20141023
444069173,20487688075,50013636,50008168,21458:30992;13658074:3323064;1628665:3233941;1628665:3233942;1628665:3233939;1628665:29790;1628665:31614;1628665:61550;1628665:3233940;1628665:3233936;1628665:3233937;25935:21991;32047:93470;122217801:34731;122217801:2026;122217801:50793479;122217801:3287412;122217801:3377924;22135:31412;122217803:30916;22009:106665;122277569:21983;2049128:117906617;22066:31379;22022:102274034;122277668:119686,1,20141103
152298847,41840167463,121394024,50008168,21458:3408353;13023209:727117752;22009:27417714;122217803:30916;21477:4195556;21477:30731631;21477:3979320;21477:24927057;25935:31381;13512069:40366865;21475:61944851;21475:20145005;1628665:3233942;1628665:92012;1628665:29798;1628665:29784;1628665:29796;1628665:29785;122217801:3238327;122217801:3228688;122217801:3265977;122217801:3340598;122217801:34731,1,20141103
513441334,19909384116,50010557,50008168,25935:21991;1628665:29784;22019:34731;22019:2026;22019:50793479;22019:3287412;22019:3377924;32047:93471;1627368:3218565;1627349:11462;1628432:106664;13394971:3269223;3988915:104912;2904342:30905,1,20121212
297411659,13540124907,50010542,50008168,21458:60020529;25935:31381;1633959:27247291;1628665:29790;1628665:3233936;1628665:29778;1628665:3233938;1628665:29782;22019:3228688;22019:3248884;22019:3284610;22019:125938;22019:3238422;22019:3251926;22019:3263874;22019:3385599;22019:3226274;32047:93471;1628366:30916;1627349:11462;8151548:29813;3988915:104912;13394971:31379;2919706:3269152;13395135:33213,1,20121212
82830661,19948600790,50013874,28,21458:11580;21475:137325,1,20121101
475046636,10368360710,203527,28,22724:40168;22729:40278;21458:21817;2770200:24373989;2444468:17122099,1,20121101
